binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus tessellaris,NA,NA,tree,NA,10,120,6,8,30000,16,160,8,11,30000,13,140,7,9.5,"Tree to 30 m. Bark tessellated, dark grey up to 2 m, smooth and white above. Juvenile leaves sessile or almost so, narrowly lanceolate or oblong. Adult leaves alternate, petiolate, narrowly lanceolate, acute or acuminate, thin; lamina 12-16 cm long, 1-1.6 cm wide, dull, grey-green; lateral veins fine, at 45°–65°; intramarginal vein almost confluent with margin; petiole terete, channelled or slightly flattened, 5-10 mm long. Conflorescence axillary, decussate; umbels 3-flowered; peduncle terete, 2-4 mm long; pedicels 2-3 mm long. Buds pyriform; operculum apiculate, 1-2 mm long, 3-4 mm wide; hypanthium truncate-ovoid or campanulate, 4-6 mm long, 3-5 mm wide. Fruits truncate-ovoid or subcylindrical, rarely suburceolate, 8-11 mm long, 6-8 mm wide. Seeds narrowly winged. Carbeen, Moreton. Bay Ash. Fig. 39A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus papuana,NA,NA,tree,NA,12,50,6,7,15000,45,180,9,10,15000,28.5,115,7.5,8.5,"Tree to 15 m. Bark smooth, white or grey-white throughout. Juvenile leaves shortly petiolate, oblong or elliptic to broadly lanceolate, acute or acuminate, glabrous or minutely and sparsely setose, undulate. Adult leaves alternate, petiolate, narrowly to broadly lanceolate; lamina 5-18 cm long, 1.2-4.5 cm wide, light green or yellow-green; lateral veins fine, at 40°–60°; intramarginal vein up to 1 mm from margin; petiole terete, 1-2.5 cm long. Conflorescence axillary or apparently terminal condensed corymbose panicle; umbels 7-11-flowered; peduncle terete, 4-7 mm long; pedicels 4-7 mm long. Buds ovoid to clavate; operculum 1-2 mm long, 5-6 mm wide; hypanthium obconical, 5 mm long, 4-6 mm wide. Fruits cylindrical, abruptly rounded at base, 7-10 mm long, 6-9 mm wide. Seeds not winged but with narrow margins. Ghost. Gum, Desert. Gum, Cabbage. Gum, Carbeen. Figs 13, 39C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus grandifolia,NA,NA,tree,NA,50,120,8,10,15000,80,150,14,18,15000,65,135,11,14,"Tree to 15 m, deciduous. Bark smooth, white or light grey throughout, sometimes scaly at the base. Juvenile leaves shortly petiolate, ovate or broadly lanceolate, glabrous or setose on the petiole and midvein. Adult leaves alternate or sometimes opposite, petiolate, ovate to broadly elliptic-lanceolate, acute or acuminate, thick; lamina 12-15 cm long, 5-8 cm wide, shining, bright green, with crinkled or undulate margins, rounded to cordate at base, slightly discolorous; lateral veins prominent, at 45°–60°; intramarginal vein double, one almost at margin, the other up to 4 mm from margin; petiole flattened or channelled, 1-1.5 cm long. Conflorescence an axillary, condensed panicle, many-flowered, sessile or on terete peduncle 1-2 mm long; pedicels 15-30 mm. Buds obovoid to pyriform; operculum hemispherical-conical, acuminate, 2-7 mm long, 7-10 mm wide; hypanthium obconical, 4-12 mm long, 6-10 mm wide. Fruits truncate-ovoid to suburceolate, 10-18 mm long, 8-14 mm wide. Seeds not winged. Cabbage. Gum, Large-leaved. Cabbage. Gum. Fig. 39E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus confertiflora,NA,NA,tree,NA,25,75,6,7,15000,100,150,10,14,15000,62.5,112.5,8,10.5,"Tree to 15 m, often straggly or crooked, ±deciduous. Bark tessellated, grey or grey-brown to 8 m, smooth and white above. Juvenile leaves sessile or shortly petiolate, broadly lanceolate, cordate, scabrous, discolorous. Leaves on mature trees opposite or alternate, sessile or petiolate, ovate, elliptic or broadly lanceolate, obtuse, thick; lamina 7.5-15 cm long, 2.5-10 cm wide, green, scabrous but wearing smooth, concolorous; lateral veins prominent, at 50°–70°; intramarginal vein close to margin, lateral veins often uniting to form a second irregular vein up to 6 mm from margin; petiole absent or terete, up to 2 cm long. Conflorescence axillary, compound, many-flowered, sessile or on terete peduncle up to 18 mm long; pedicels 1-2 cm long, striate when dry. Buds pyriform; operculum apiculate, approx 2 mm long, 4-5 mm wide; hypanthium obconical, 3-5 mm long, 4-5 mm wide. Fruits truncate-ovoid, 7-14 mm long, 6-10 mm wide. Seeds not winged. Broad-leaved. Carbeen, Carbeen. Gum. Fig. 39G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus clavigera,NA,NA,tree,NA,20,110,8,9,10000,40,190,9,10,10000,30,150,8.5,9.5,"Tree to 10 m. Bark tessellated, grey to 3 m, smooth and grey to grey-white above. Juvenile leaves petiolate, ovate, setulose on petiole and veins of the undersurface. Adult leaves mostly alternate, sometimes opposite, petiolate, lanceolate or broadly lanceolate, acute, usually rounded, thick; lamina 11-19 cm long, 2-4 cm wide, grey-green, concolorous; lateral veins prominent, at 40°–60°; intramarginal vein up to 1 mm from margin; petiole 1-2 cm long. Conflorescence axillary, compound; umbels up to 11-flowered, sessile or on peduncle up to 3.5 cm long; pedicels 1.2-2.2 cm long. Buds clavate; operculum approx 2 mm long, 5-6 mm wide; hypanthium obconical, 5-6 mm long and wide. Fruits truncate-ovoid, venulose, 9-10 mm long, 8-9 mm wide. Seeds not winged but with a rudimentary margin. Apple. Gum, Cabbage. Gum. Fig. 39 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus kombolgiensis,NA,NA,tree,NA,10,100,6,8,10000,25,210,7,12,10000,17.5,155,6.5,10,"Tree to 10 m. Bark tessellated, grey to 3 m, smooth and cream-yellow or cream-orange above. Juvenile leaves broadly lanceolate. Adult leaves subopposite to alternate, petiolate, lanceolate, apiculate; lamina 10-21 cm long, 1-2.5 cm wide, green, concolorous; lateral veins at 50°–60°; intramarginal vein up to 2 mm from margin; petiole 6-14 mm long. Conflorescence axillary, of 2 decussate pairs of umbels; umbels 7-11-flowered; peduncle 8-10 mm long; pedicels 7-15 mm long. Buds clavate; operculum low conical, approx 2 mm long, 3-4 mm wide; hypanthium obconical to campanulate, approx 3 mm long, 3-4 mm wide. Fruits suburceolate or truncate-ovoid, 8-12 mm long, 6-7 mm wide. Seeds not winged. Fig. 40A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus gilbertensis,NA,NA,tree,NA,8,60,NA,NA,10000,20,130,NA,NA,10000,14,95,NA,NA,"Tree to 10 m, often several-stemmed or crooked. Bark tessellated, grey to approx 1.5 m, smooth and white, grey or pink-grey above. Juvenile leaves sessile or very shortly petiolate, broadly lanceolate, often subcordate, scabrous. Adult leaves opposite or alternate, petiolate, broadly to narrowly lanceolate, thick; lamina 6-13 cm long, 0.8-2 cm wide, grey-green; lateral veins at 60°–80°; intramarginal vein up to 1 mm from margin; petiole terete, 5-10 mm long. Conflorescence an axillary, condensed panicle; umbels 3-7-flowered; peduncle terete, but striate when dry, 4-5 mm long; pedicels terete, but striate when dry, 7-15 mm long. Buds turbinate; operculum saucer-shaped, apiculate, 1-2 mm long, 5-6 mm wide; hypanthium obconical, 5-6 mm long and wide. Fruit cylindrical, 8-12 mm long, 6-9 mm wide. Seeds with a rudimentary margin. Gilbert. River. Bloodwood. Fig. 40C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus aspera,NA,NA,tree,NA,20,60,4,5,9000,30,70,9,10,9000,25,65,6.5,7.5,"Tree to 9 m, often straggly. Bark mostly smooth, white or pale grey, but often scaly and tessellated at base. Juvenile leaves shortly petiolate, ovate, cordate, obtuse, 6-10 cm long, 4-5 cm wide, setulose mostly on veins beneath and stems. Leaves on mature trees subopposite or alternate, sessile or almost so, lanceolate to broadly lanceolate, truncate or cordate, thick, scabrous, becoming smooth; lamina 6-7 cm long, 2-3 cm wide, grey-green, rarely green; lateral veins at 60°–80°; intramarginal vein up to 2 mm from margin. Conflorescence an axillary, condensed panicle; umbels 3-flowered, sessile or almost so; pedicels 3-7 mm long. Buds clavate; operculum approx 1 mm long, 3 mm wide; hypanthium cupular, 3-4 mm long, approx 3 mm wide. Fruits truncate-ovoid, 5-10 mm long, 4-9 mm wide. Seeds with a rudimentary margin. Brittle. Range. Gum (W.A.), Desert. Bloodwood, Snappy. Gum (N.T.). Fig. 40E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus ferriticola,NA,NA,tree,NA,10,50,4,5,8000,15,100,7,9,8000,12.5,75,5.5,7,"Tree or mallee to 8 m. Bark smooth throughout, green to pink. Juvenile leaves opposite, petiolate, ovate, dull, light green. Adult leaves alternate, petiolate, narrowly lanceolate to lanceolate, acuminate to rostrate; lamina 5-10 cm long, 1-1.5 cm wide, dull, grey-green; lateral veins faint, at 45°–60°; intramarginal vein up to 1 mm from margin; petiole 6-15 mm long. Conflorescence axillary, compound; umbels many-flowered; peduncle approx 2 mm long; pedicels 1-2 mm long. Buds clavate; operculum hemispherical, 1-2 mm long, 2-3 mm wide; hypanthium obovoid, 2-3 mm long, 3-4 mm wide. Fruits cylindrical to ovoid, 5-9 mm long, 4-7 mm wide. Fig. 40G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus setosa,NA,NA,tree,NA,NA,NA,NA,15,6000,NA,NA,NA,25,6000,NA,NA,NA,20,"Tree mostly to 6 m, sometimes to 9 m, straggly. Bark rough, flaky or tessellated, grey throughout. Juvenile leaves similar to, but smaller than leaves on mature trees. Leaves on mature trees opposite, sessile, lanceolate to broadly ovate, cordate, 5-10 cm long, 2.5-6 cm wide, sometimes scabrous, grey-green; lateral veins at 55°–75°, curved towards margin. Umbels 3-7-flowered; peduncle 12-25 mm long, setose; pedicels 4-8 mm long, setose. Buds ovoid to pyriform; operculum hemispherical-conical, 5-7 mm long, 7-8 mm wide; hypanthium truncate-ovoid, 9-11 mm long, 7-8 mm wide. Fruits pedicellate, ovoid to suburceolate, 15-25 mm long and wide, woody, setose when young, becoming smooth. Seeds winged at one end, yellow-brown. Desert. Bloodwood, Rough-leaved. Bloodwood. Fig. 40 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
