unique_ID,Long,Lat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,species,year,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies,binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
1131,118.73,-34.405833333333334,158,113,56,3217,269,68,201,119,199,199,118,519,66,18,39,181,66,68,178,Eucalyptus rudis subsp. rudis,1995,Eucalyptus,Symphyomyrtus,Exsertaria,Exsertae,Rostratae,rudis,rudis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1146,115.06722222222221,-33.559999999999995,168,95,52,2946,272,91,181,142,206,208,134,833,171,12,81,456,37,43,450,Eucalyptus rudis subsp. cratyantha,1995,Eucalyptus,Symphyomyrtus,Exsertaria,Exsertae,Rostratae,rudis,cratyantha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,115.57555555555555,-30.436944444444446,180,127,50,4475,322,72,250,126,237,239,126,597,131,9,81,331,37,41,331,Eucalyptus absita,1995,Eucalyptus,Symphyomyrtus,Adnataria,Lucasianae,NA,absita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,113.48805555555556,-24.017777777777777,228,114,48,4168,347,111,236,185,238,281,173,235,51,1,81,131,7,66,104,Eucalyptus victrix,1995,Eucalyptus,Symphyomyrtus,Adnataria,Striolatae,NA,victrix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1183,114.05055555555555,-22.11861111111111,243,133,51,4534,371,115,256,192,259,299,182,259,47,1,74,116,7,100,85,Eucalyptus xerothermica,1995,Eucalyptus,Symphyomyrtus,Adnataria,Striolatae,NA,xerothermica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1187,117.51666666666667,-22.714166666666667,254,145,48,5566,398,98,300,314,259,319,177,337,70,3,77,184,12,172,51,Eucalyptus xerothermica,1995,Eucalyptus,Symphyomyrtus,Adnataria,Striolatae,NA,xerothermica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1202,127.625,-22.828055555555554,245,149,48,5770,387,79,308,309,184,309,165,253,45,5,64,125,19,125,26,Eucalyptus normantonensis,1995,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,normantonensis,NA,Eucalyptus normantonensis,NA,NA,mallee,NA,6,80,NA,3,5000,20,120,NA,4,5000,13,100,NA,3.5,"Usually a mallee to 5 m, sometimes a small tree to 8 m. Bark rough, subtessellated, grey on trunk, smooth and grey or brown on upper stems and branches. Juvenile leaves alternate or subopposite, narrowly lanceolate, green, concolorous. Adult leaves narrowly lanceolate, acuminate; lamina 8-12 cm long, 0.6-2 cm wide, shining, green; lateral veins faint, at 35Â°â€“45Â°; intramarginal vein up to 1 mm from margin; petiole terete or slightly flattened, 8-14 mm long. Umbels 7-flowered; peduncle quadrangular or terete, 10-15 mm long; pedicels 2-6 mm long. Buds clavate; operculum hemispherical or slightly apiculate, 1-2 mm long, 2-3 mm wide; hypanthium obonical, 2-3 mm long and wide. Fruits cylindrical to subglobular, 3-4 mm long and wide; disc narrow, descending; valves 3 or 4, included. Fig. 99Hâ€“I","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1206,131.5602777777778,-23.204166666666666,221,154,48,5833,366,49,317,280,160,288,141,311,48,10,50,132,33,128,39,Eucalyptus camaldulensis subsp. arida,1995,Eucalyptus,Symphyomyrtus,Exsertaria,Exsertae,Rostratae,camaldulensis,arida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1207,132.56722222222223,-23.635833333333334,209,157,48,6010,362,36,326,270,147,279,127,303,39,12,37,112,42,112,48,Eucalyptus normantonensis,1995,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,normantonensis,NA,Eucalyptus normantonensis,NA,NA,mallee,NA,6,80,NA,3,5000,20,120,NA,4,5000,13,100,NA,3.5,"Usually a mallee to 5 m, sometimes a small tree to 8 m. Bark rough, subtessellated, grey on trunk, smooth and grey or brown on upper stems and branches. Juvenile leaves alternate or subopposite, narrowly lanceolate, green, concolorous. Adult leaves narrowly lanceolate, acuminate; lamina 8-12 cm long, 0.6-2 cm wide, shining, green; lateral veins faint, at 35Â°â€“45Â°; intramarginal vein up to 1 mm from margin; petiole terete or slightly flattened, 8-14 mm long. Umbels 7-flowered; peduncle quadrangular or terete, 10-15 mm long; pedicels 2-6 mm long. Buds clavate; operculum hemispherical or slightly apiculate, 1-2 mm long, 2-3 mm wide; hypanthium obonical, 2-3 mm long and wide. Fruits cylindrical to subglobular, 3-4 mm long and wide; disc narrow, descending; valves 3 or 4, included. Fig. 99Hâ€“I","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1209,133.85722222222222,-23.724999999999998,209,162,48,6048,369,35,334,280,147,280,127,282,37,9,43,111,35,111,42,Eucalyptus gillenii,1995,Eucalyptus,Symphyomyrtus,Exsertaria,Exsertae,Exsertae,gillenii,NA,Eucalyptus gillenii,NA,NA,mallee,NA,12,100,6,6,3000,25,150,12,15,3000,18.5,125,9,10.5,"Mallee to 3 m or tree to 6 m. Bark smooth throughout, white, grey or pale brown. Juvenile leaves narrowly to broadly lanceolate, grey-green, concolorous. Adult leaves lanceolate, sometimes falcate, acute to acuminate, thick; lamina 10-15 cm long, 1.2-2.5 cm wide, green; lateral veins at 40Â°â€“45Â°; intramarginal vein up to 1 mm from margin; petiole flattened or angular, 15-30 mm long. Umbels 7-flowered, occasionally 3-flowered, single or paired; peduncle thick, terete, 5-10 mm long; pedicels absent or to 4 mm long. Buds ovoid to obovoid or Â±conical; operculum conical, 4-8 mm long, 3-6 mm wide; hypanthium hemispherical, 3-4 mm long, 3-6 mm wide. Fruits subglobular to ovoid, 6-15 mm long, 6-12 mm wide; disc broad, steeply ascending; valves 3-5, strongly exserted. Seeds brown-black. Fig. 92 Iâ€“J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1220,147.3011111111111,-33.90361111111111,166,130,44,5718,321,32,289,170,93,240,93,504,53,31,13,136,116,124,116,Eucalyptus microcarpa,1996,Eucalyptus,Symphyomyrtus,Adnataria,Subbuxeales,NA,microcarpa,NA,Eucalyptus microcarpa,NA,NA,tree,NA,10,80,3,3,25000,20,150,5,7,25000,15,115,4,5,"Tree to 25 m. Bark rough, fibrous on trunk and larger branches, grey, tessellated, then smooth and white above. Juvenile leaves ovate, green. Adult leaves lanceolate, acuminate; lamina 8-15 cm long, 1-2 cm wide, green; lateral veins faint or clearly visible, at 20Â°â€“30Â°; intramarginal vein up to 1 mm from margin; petiole terete, 10-15 mm long. Peduncle angular, 3-10 mm long; pedicels 1-5 mm long, occasionally absent. Buds fusiform; operculum conical, 2-3 mm long, 2-4 mm wide; hypanthium obconical, 3-4 mm long, 2-4 mm wide. Fruits ovoid to cylindrical, not ribbed, 3-7 mm long, 3-5 mm wide. Grey. Box. Fig. 103Aâ€“B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
1223,149.35833333333332,-33.43527777777778,114,120,46,4930,255,-3,258,82,118,177,51,863,90,58,15,246,183,231,226,Eucalyptus rubida subsp. rubida,1996,Eucalyptus,Symphyomyrtus,Maidenaria,Viminales,Circulares,rubida,rubida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
