"unique_ID","species","Long","Lat","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19"
103,"Eucalyptus calcareana",132.196666666667,-31.7680555555556,"175","133","56","3702","296","59","237","133","219","219","125","285","38","8","40","109","38","38","105"
110,"Eucalyptus pimpiniana",130.193888888889,-29.3497222222222,"189","160","52","4974","345","41","304","248","133","248","121","179","20","10","21","56","33","56","37"
112,"Eucalyptus wyolensis",130.220277777778,-29.3369444444444,"190","161","52","4976","346","42","304","249","134","249","122","174","20","9","23","56","31","56","34"
113,"Eucalyptus socialis subsp. victoriensis",130.049166666667,-29.3697222222222,"189","160","52","4988","345","41","304","248","133","248","121","177","20","9","22","55","32","55","36"
115,"Eucalyptus optima",123.497222222222,-32.2927777777778,"173","141","53","4290","315","50","265","125","227","227","116","285","34","18","20","91","57","57","79"
116,"Eucalyptus fraseri subsp. fraseri",123.482222222222,-32.2836111111111,"172","141","53","4318","314","49","265","123","226","226","115","286","34","18","20","91","58","58","79"
117,"Eucalyptus terebra",123.465555555556,-32.2747222222222,"172","141","53","4318","314","49","265","123","226","226","115","286","34","18","20","91","58","58","79"
118,"Eucalyptus balladoniensis subsp. balladoniensis",123.435,-32.2575,"172","140","52","4322","314","49","265","123","226","226","115","287","35","18","21","92","58","58","80"
120,"Eucalyptus laevis",123.39,-32.2325,"172","140","52","4344","315","49","266","123","226","226","114","287","34","19","20","91","59","59","79"
121,"Eucalyptus cylindrocarpa",123.365,-32.2222222222222,"172","140","52","4358","315","49","266","122","226","226","114","288","34","19","19","92","59","59","80"
122,"Eucalyptus spreta",123.365,-32.2222222222222,"172","140","52","4358","315","49","266","122","226","226","114","288","34","19","19","92","59","59","80"
123,"Eucalyptus grossa",123.338611111111,-32.2094444444445,"172","140","52","4358","315","49","266","122","226","226","114","288","34","19","19","92","59","59","80"
124,"Eucalyptus histophylla",123.319166666667,-32.1986111111111,"173","139","52","4387","316","50","266","123","228","228","115","281","34","19","20","90","58","58","78"
125,"Eucalyptus cyclostoma",123.24,-32.1594444444444,"174","139","52","4387","316","51","265","124","228","228","116","278","33","19","19","89","58","58","77"
126,"Eucalyptus protensa",123.114166666667,-32.0975,"171","137","51","4438","314","48","266","121","226","226","112","286","34","20","19","91","61","61","80"
127,"Eucalyptus effusa subsp. effusa",122.965,-32.0522222222222,"169","136","51","4486","313","47","266","119","225","225","110","287","34","20","19","92","61","61","80"
128,"Eucalyptus fraseri subsp. melanobasis",122.866666666667,-32.0280555555556,"165","135","50","4548","310","44","266","114","189","222","106","301","36","21","18","97","64","65","86"
129,"Eucalyptus dundasii",122.773888888889,-32.025,"166","135","50","4560","311","45","266","115","190","223","106","299","36","20","19","96","63","65","86"
130,"Eucalyptus tortilis",122.205833333333,-33.8208333333333,"168","105","55","3089","267","77","190","127","205","206","127","630","98","19","52","271","63","68","271"
130,"Eucalyptus tortilis",122.205833333333,-32.0638888888889,"172","130","49","4576","315","53","262","120","196","229","112","284","34","19","20","94","58","63","83"
131,"Eucalyptus planipes",122.008611111111,-32.1183333333333,"169","129","49","4599","313","51","262","117","193","227","109","291","35","19","20","97","59","65","85"
132,"Eucalyptus celastroides",122.008611111111,-32.1183333333333,"169","129","49","4599","313","51","262","117","193","227","109","291","35","19","20","97","59","65","85"
133,"Eucalyptus platydisca",122.008611111111,-32.1183333333333,"169","129","49","4599","313","51","262","117","193","227","109","291","35","19","20","97","59","65","85"
134,"Eucalyptus ravida",122.026666666667,-32.0938888888889,"169","129","49","4599","313","51","262","117","193","227","109","291","35","19","20","97","59","65","85"
135,"Eucalyptus torquata",121.693055555556,-32.1363888888889,"171","128","49","4642","314","53","261","118","195","229","110","295","36","19","22","100","59","66","88"
136,"Eucalyptus brockwayi",121.694166666667,-32.1366666666667,"171","128","49","4642","314","53","261","118","195","229","110","295","36","19","22","100","59","66","88"
137,"Eucalyptus pterocarpa ",121.639444444444,-32.1513888888889,"168","128","49","4625","312","51","261","116","192","226","108","305","37","20","22","103","61","68","92"
138,"Eucalyptus websteriana (subsp. norsemanica)",121.736111111111,-32.1533333333333,"172","128","49","4609","316","55","261","120","196","230","112","289","35","19","22","98","58","64","85"
139,"Eucalyptus loxophleba subsp. lissophloia",121.691666666667,-32.4538888888889,"169","125","49","4391","307","56","251","120","213","224","112","312","38","20","22","106","62","65","95"
140,"Eucalyptus subtilis",121.607777777778,-32.5247222222222,"169","125","50","4294","305","57","248","121","211","223","113","319","39","20","23","109","62","65","99"
141,"Eucalyptus kumarlensis",121.505833333333,-32.6425,"170","123","50","4185","303","61","242","124","211","222","115","328","40","18","25","113","60","62","105"
143,"Eucalyptus melanoxylon",121.539722222222,-32.6711111111111,"169","123","51","4120","301","61","240","124","210","221","116","330","40","18","25","113","60","62","105"
144,"Eucalyptus cylindriflora",121.591388888889,-32.8719444444444,"166","120","51","3991","294","61","233","122","205","216","114","344","42","18","26","118","61","62","112"
145,"Eucalyptus extensa",121.595555555556,-32.8805555555556,"165","120","51","3974","292","60","232","122","203","214","113","351","43","19","26","121","62","64","115"
